instance,solver,perturbation_scheme,replication,distance,processing_time
pr439.tsp,solve_tsp_local_search,ps3,0,190498,300.00325307250023
pr439.tsp,solve_tsp_simulated_annealing,ps4,0,303088,300.23720839619637
pr439.tsp,solve_tsp_local_search,ps4,0,326391,300.0009361281991
pr439.tsp,solve_tsp_simulated_annealing,ps5,0,135437,300.13534734398127
pr439.tsp,solve_tsp_local_search,ps5,0,125014,162.70900280028582
pr439.tsp,solve_tsp_simulated_annealing,ps6,0,305281,300.22514993697405
pr439.tsp,solve_tsp_local_search,ps6,0,299204,300.0059487745166
pr439.tsp,solve_tsp_simulated_annealing,two_opt,0,129772,300.13939140737057
pr439.tsp,solve_tsp_local_search,two_opt,0,121828,210.39303001016378
rat195.tsp,solve_tsp_simulated_annealing,ps1,0,16508,15.552338637411594
rat195.tsp,solve_tsp_local_search,ps1,0,16957,0.1410287395119667
rat195.tsp,solve_tsp_simulated_annealing,ps2,0,3948,114.48918089270592
rat195.tsp,solve_tsp_local_search,ps2,0,4193,27.142126820981503
rat195.tsp,solve_tsp_simulated_annealing,ps3,0,2967,177.2086412087083
rat195.tsp,solve_tsp_local_search,ps3,0,3096,52.56872858852148
rat195.tsp,solve_tsp_simulated_annealing,ps4,0,3599,135.11583038419485
rat195.tsp,solve_tsp_local_search,ps4,0,2693,300.00225353986025
rat195.tsp,solve_tsp_simulated_annealing,ps5,0,2584,78.15935891121626
rat195.tsp,solve_tsp_local_search,ps5,0,2614,14.348769150674343
rat195.tsp,solve_tsp_simulated_annealing,ps6,0,3534,150.78465993702412
rat195.tsp,solve_tsp_local_search,ps6,0,2649,300.0002374649048
rat195.tsp,solve_tsp_simulated_annealing,two_opt,0,2573,67.7259679287672
rat195.tsp,solve_tsp_local_search,two_opt,0,2583,17.636192940175533
gr137.tsp,solve_tsp_simulated_annealing,ps1,0,490808034,15.444291830062866
gr137.tsp,solve_tsp_local_search,ps1,0,516121895,0.07624641805887222
gr137.tsp,solve_tsp_simulated_annealing,ps2,0,158709500,37.38396742939949
gr137.tsp,solve_tsp_local_search,ps2,0,135136473,7.7779097855091095
gr137.tsp,solve_tsp_simulated_annealing,ps3,0,92025660,72.30034348368645
gr137.tsp,solve_tsp_local_search,ps3,0,96382874,20.78766953200102
gr137.tsp,solve_tsp_simulated_annealing,ps4,0,104993486,45.3772678822279
gr137.tsp,solve_tsp_local_search,ps4,0,72773131,300.00284596532583
gr137.tsp,solve_tsp_simulated_annealing,ps5,0,76958321,31.144832141697407
gr137.tsp,solve_tsp_local_search,ps5,0,76470458,4.454843558371067
gr137.tsp,solve_tsp_simulated_annealing,ps6,0,100536896,47.40045693516731
gr137.tsp,solve_tsp_local_search,ps6,0,71511461,300.00200090557337
gr137.tsp,solve_tsp_simulated_annealing,two_opt,0,73689864,30.527682557702065
gr137.tsp,solve_tsp_local_search,two_opt,0,79009031,6.144492842257023
fl3795.tsp,solve_tsp_simulated_annealing,ps1,0,2754582,300.84468418359756
fl3795.tsp,solve_tsp_local_search,ps1,0,2763487,72.39489325881004
fl3795.tsp,solve_tsp_simulated_annealing,ps2,0,1991874,301.16880245506763
fl3795.tsp,solve_tsp_local_search,ps2,0,1526256,300.00841680169106
fl3795.tsp,solve_tsp_simulated_annealing,ps3,0,1901618,301.588939987123
fl3795.tsp,solve_tsp_local_search,ps3,0,2659733,300.0105880573392
fl3795.tsp,solve_tsp_simulated_annealing,ps4,0,1906968,302.0808005556464
fl3795.tsp,solve_tsp_local_search,ps4,0,2243733,300.0081456154585
fl3795.tsp,solve_tsp_simulated_annealing,ps5,0,1536024,301.2048631757498
fl3795.tsp,solve_tsp_local_search,ps5,0,1148249,300.010795339942
fl3795.tsp,solve_tsp_simulated_annealing,ps6,0,1907733,302.08274645358324
fl3795.tsp,solve_tsp_local_search,ps6,0,2182039,300.0130092650652
fl3795.tsp,solve_tsp_simulated_annealing,two_opt,0,1471830,301.2062060981989
fl3795.tsp,solve_tsp_local_search,two_opt,0,1124272,300.0124746635556
